date,open,high,low,close,volume,vwap,Returns
09/18/2013 14:48:15,1719,1719.25,1718,1718.5,20740,1718.654641,-0.000436618
09/18/2013 14:52:37,1718.5,1719.25,1717.75,1717.75,20741,1718.496697,-0.000436808
09/18/2013 14:55:23,1717.75,1718,1716.25,1717,20737,1717.154603,0.000582072
09/18/2013 14:58:23,1717,1718.25,1716.75,1718,20775,1717.401179,0.000290951
09/18/2013 14:59:42,1718,1718.5,1717.75,1718.5,20462,1718.126148,0
09/18/2013 14:59:59,1718.5,1718.75,1718,1718.5,21029,1718.316087,0.000145455
09/18/2013 15:00:07,1718.5,1719.25,1718.25,1718.75,20723,1718.751846,-0.000582157
09/18/2013 15:00:46,1718.75,1719,1717.5,1717.75,20756,1718.353837,0
09/18/2013 15:03:01,1717.75,1718.25,1717.25,1717.75,20744,1717.759099,0
09/18/2013 15:08:28,1717.75,1718.25,1717.5,1717.75,20755,1717.872862,0.000145518
09/18/2013 15:14:33,1717.75,1718.25,1717.25,1718,20753,1717.706946,0.000436364
09/18/2013 17:29:55,1718,1719.5,1717.5,1718.75,20743,1718.330244,0.000290824
09/18/2013 20:49:51,1718.75,1720.5,1718.25,1719.25,20722,1719.242158,0.000726533
09/19/2013 0:57:39,1719.25,1720.75,1718.75,1720.5,20724,1719.768939,0.000145285
09/19/2013 2:06:44,1720.5,1721.25,1719,1720.75,20730,1720.496937,0.000870954
09/19/2013 2:34:36,1720.75,1722.25,1720.5,1722.25,20711,1721.044493,0.000435287
09/19/2013 3:05:13,1722.25,1723.75,1721.75,1723,20692,1722.71315,0.000290107
09/19/2013 4:01:36,1723,1723.75,1722.25,1723.5,20690,1722.808809,0.001303781
09/19/2013 4:32:07,1723.5,1726,1723.25,1725.75,20660,1724.514218,-0.000144886
09/19/2013 5:10:11,1725.75,1726.75,1725,1725.5,20661,1725.882387,-0.00087007
09/19/2013 6:12:02,1725.5,1726.5,1724,1724,20658,1725.4867,-0.000725584
09/19/2013 7:07:40,1724,1724.5,1721.75,1722.75,20687,1723.051506,-0.000580804
09/19/2013 7:33:07,1722.5,1722.75,1721.25,1721.75,20700,1721.896969,-0.000145222
09/19/2013 7:51:44,1721.75,1723,1721,1721.5,20698,1722.199899,0.000435477
09/19/2013 8:18:49,1721.5,1722.75,1721.25,1722.25,20675,1722.111439,0.000435287
09/19/2013 8:30:17,1722.25,1723.5,1722.25,1723,20709,1722.925805,0
09/19/2013 8:33:45,1723,1723.25,1722.5,1723,20689,1722.896805,0.000145075
09/19/2013 8:36:27,1723,1723.75,1722.75,1723.25,20687,1723.131339,-0.001161946
09/19/2013 8:39:05,1723.25,1723.5,1721,1721.25,20697,1722.228089,-0.000290571
09/19/2013 8:41:21,1721.25,1721.5,1720.25,1720.75,20712,1720.779343,-0.000726956
09/19/2013 8:43:49,1720.75,1721.25,1719.5,1719.5,20684,1720.575409,0.000581226
09/19/2013 8:45:47,1719.5,1720.75,1719.25,1720.5,20751,1719.864814,-0.00043611
09/19/2013 8:47:48,1720.5,1721,1719,1719.75,20728,1719.961767,-0.000581818
09/19/2013 8:51:07,1719.75,1720,1718.75,1718.75,20728,1719.506344,0.000145433
09/19/2013 8:52:58,1718.75,1719.25,1718.25,1719,20737,1718.795559,0.000726639
09/19/2013 8:56:19,1719,1720.25,1718.75,1720.25,20733,1719.36472,0.000871207
09/19/2013 8:59:57,1720.25,1722.25,1720,1721.75,20716,1720.854183,0
09/19/2013 9:02:12,1721.75,1722.25,1720.5,1721.75,20693,1721.451421,0.00014518
09/19/2013 9:05:15,1721.75,1722.75,1721.25,1722,20704,1722.028859,-0.00087184
09/19/2013 9:07:48,1722,1722,1720,1720.5,20715,1720.717198,-0.00043611
09/19/2013 9:09:51,1720.5,1720.5,1718.75,1719.75,20734,1719.437229,0.000145349
09/19/2013 9:13:00,1719.75,1720.5,1719.25,1720,20728,1719.879631,-0.000872854
09/19/2013 9:16:40,1720,1720,1718.5,1718.5,20692,1718.927339,0
09/19/2013 9:20:14,1718.75,1718.75,1717.75,1718.5,20781,1718.268166,0.000872093
